r2_train,r2_test,totals_effect,nonlinear,interactions,rho_X,int_X,rho_U,int_U
0.9424934049021267,0.8085687410854827,0.75,1,0,0.5,1,0.5,2
0.8515862651414456,0.3952353701005405,0.75,1,2,0.0,1,0.0,2
0.7436469688071554,0.539814609259341,0.75,0,0,0.0,1,0.5,2
0.8791862154233682,0.3451061304446345,0.75,0,2,0.5,1,0.5,2
0.9567737516956163,0.7738742569391799,0.75,0,2,0.5,1,0.5,2
0.7345316031740756,0.5474284842563384,0.75,3,2,0.0,1,0.5,2
0.9511440001507936,-1.4873584096356363,0.25,1,2,0.0,1,0.5,2
0.9184861239515213,0.8469259730399789,0.75,1,1,0.5,1,0.5,2
0.9226467591505263,0.8659882562211,0.75,3,0,0.5,1,0.5,2
0.9013029425261794,0.7868371849947144,0.75,1,2,0.5,1,0.5,2
0.8510894567251877,0.9636020087699149,0.75,3,0,0.5,1,0.5,2
0.8730178862086272,0.8275940557195721,0.75,3,1,0.5,1,0.0,2
0.8547280356877442,0.6966589913362572,0.5,0,0,0.0,1,0.5,2
0.8550159146980781,0.5141831243587377,0.25,1,1,0.5,1,0.5,2
0.8301529979227402,0.7437954026102381,0.75,3,1,0.5,1,0.5,2
0.8184341427220767,0.6536221324150394,0.5,1,0,0.0,1,0.0,2
0.8396688371691029,0.313387482069624,0.75,1,0,0.0,1,0.0,2
0.724214138268968,-0.16706647394431695,0.25,1,1,0.0,1,0.0,2
0.7444402977429332,0.3167257827242268,0.75,1,2,0.0,1,0.5,2
0.7599812444338976,0.2858784563445785,0.5,3,1,0.0,1,0.0,2
0.903943313862126,0.7152372912474942,0.5,0,1,0.5,1,0.5,2
0.833606910372044,0.020919373017147636,0.25,3,0,0.5,1,0.0,2
0.8827231363251415,0.7618459501044199,0.25,0,2,0.0,1,0.5,2
0.800999338947842,0.4633290302595141,0.5,3,2,0.0,1,0.5,2
0.9273861407867137,0.9539742234032466,0.25,0,1,0.5,1,0.5,2
0.91625462165327,0.5869492682445592,0.25,0,0,0.0,1,0.5,2
0.7097883796496186,0.5689486461046578,0.5,3,0,0.5,1,0.0,2
0.896226299788552,0.7285606245482047,0.5,0,2,0.5,1,0.5,2
0.6987900516676688,0.1515905558724635,0.75,3,2,0.0,1,0.0,2
0.869098840069335,0.3876418042733586,0.75,1,0,0.5,1,0.5,2
0.8452983333166355,-0.06516290529444385,0.5,0,1,0.0,1,0.0,2
0.8715179049859956,0.7253496455935842,0.5,1,1,0.0,1,0.5,2
0.7316518595875345,0.47299189521472046,0.5,1,0,0.5,1,0.0,2
0.871371925639184,0.5000914370216576,0.75,3,0,0.5,1,0.0,2
0.833806309243486,0.4651810121602837,0.5,0,2,0.5,1,0.0,2
0.7521131560909858,0.08306023594994377,0.5,1,0,0.5,1,0.0,2
0.8100399740755503,-14.373267810393479,0.5,3,1,0.0,1,0.0,2
0.7080342115600674,0.5342191680736603,0.75,0,2,0.0,1,0.0,2
0.7078270837985066,-0.2669554433583517,0.25,3,0,0.5,1,0.0,2
0.7760692923896111,-0.7919172189897997,0.75,1,1,0.0,1,0.5,2
0.8950958838440841,0.7532248460987322,0.25,0,0,0.5,1,0.5,2
0.819875943907284,-1.9461492281340038,0.5,0,1,0.0,1,0.5,2
0.7711757114745794,0.2987326870322412,0.25,0,0,0.0,1,0.0,2
0.7402792166134258,0.5560028185848391,0.5,0,1,0.5,1,0.0,2
0.7289717654574772,0.25712336166037114,0.75,0,2,0.0,1,0.5,2
0.66378108894437,0.3908531850749409,0.25,3,0,0.0,1,0.0,2
0.8585791866912191,0.25434892463863534,0.25,1,0,0.5,1,0.5,2
0.7568958262535208,0.01527360670428346,0.25,3,2,0.5,1,0.0,2
0.8474108482367693,0.651906404923172,0.75,3,1,0.5,1,0.5,2
0.8910665421999013,0.614213601433988,0.25,0,0,0.5,1,0.5,2
0.7721255893646883,0.46065977175035194,0.25,0,1,0.5,1,0.0,2
0.8077776789353566,0.018019685319482615,0.25,0,0,0.0,1,0.0,2
0.7373308405694935,0.4893931175010033,0.5,1,1,0.0,1,0.0,2
0.9255715121629999,0.8351055914639742,0.5,1,0,0.5,1,0.5,2
