,features,r2_train,r2_test,totals_effect,nonlinear,interactions,rho_X,int_X,rho_U,int_U,N,cos_sim,cos_sim_rand
91,10,0.68043311921878,-3.419447088190428,0.5,3,0,0.5,1,0.5,2,50,0.6825670357663495,0.23596396008479792
92,5,0.43549580880220484,0.1896311935016578,0.5,0,2,0.0,1,0.5,2,50,0.6607169862791599,0.6077787718486815
93,10,0.6119291050361708,-0.07472735076803239,0.25,1,1,0.5,1,0.5,2,50,0.3900159397577543,0.313103200858822
94,5,0.766440110610239,0.2096923063096654,0.5,0,0,0.0,1,0.0,2,30,0.6369396852835457,0.8299960429987735
95,10,0.6439103330283871,0.45887401820730933,0.75,1,0,0.5,1,0.0,2,100,0.7428404765818158,0.21053926437199283
96,10,0.6555412713193882,0.2930731401943977,0.75,1,2,0.0,1,0.5,2,30,0.5891558882090493,0.6504382963859277
97,2,0.28514370768897934,-0.5908176892764212,0.25,1,0,0.5,1,0.5,2,100,0.925624148357183,0.9290057411612388
98,5,0.4012183290436995,-1.2088538373864872,0.25,3,2,0.5,1,0.0,2,50,0.7765405902933308,0.6204091055914885
99,5,0.7698654898329662,-9.354113919120069,0.5,0,2,0.0,1,0.0,2,30,0.6875110424445864,0.5122791706079434
100,10,0.6990504814320615,-0.38837676633421747,0.5,1,1,0.5,1,0.5,2,30,0.7863926558625391,0.38988381773517217
101,2,0.23039724262316896,0.3553859923075715,0.25,0,0,0.0,1,0.5,2,100,0.7779383454233855,0.5487226200929702
102,10,0.760080310216742,0.5021527588741717,0.5,1,2,0.5,1,0.5,2,30,0.7260369231279754,0.42729971419318946
103,10,0.7416490048796451,-0.15928428305280007,0.5,3,2,0.5,1,0.5,2,30,0.20624184576999058,0.37630798282038724
104,10,0.39718974718202193,0.18937353086186548,0.5,1,2,0.5,1,0.0,2,100,0.45463527790126196,0.6905063865062991
105,5,0.32458712945186974,0.3271812249649685,0.5,3,2,0.0,1,0.0,2,100,0.8053272831786483,0.12173353563110854
106,5,0.6077886383621456,0.21760131084209577,0.5,1,2,0.0,1,0.5,2,30,0.8383990556854782,0.5070204588979976
107,10,0.7171056826503113,-1.0264235712502043,0.25,1,2,0.0,1,0.5,2,30,0.7317439816717072,0.2744002654110215
108,5,0.4689867314323699,-0.032640231070093284,0.75,3,1,0.5,1,0.5,2,100,0.7831856324424492,0.7062241080562838
109,5,0.6694338074477777,0.7294856637174605,0.75,0,2,0.5,1,0.5,2,100,0.7526937593029507,0.42374673763543297
110,10,0.4850004574687058,0.18321378872760996,0.25,1,0,0.5,1,0.5,2,100,0.6970730723015142,0.666319169954202
111,5,0.581842085499596,0.2607483484564934,0.5,3,0,0.5,1,0.5,2,50,0.9501732803894941,0.23615054285567394
112,10,0.6470068992116075,0.5750013036845358,0.75,3,2,0.5,1,0.5,2,100,0.511107352305858,0.2410494696606996
113,10,0.7274264187396404,0.5095557030039799,0.75,0,1,0.5,1,0.5,2,50,0.21717920878726282,0.16867988242832724
114,2,0.19443827568897043,-1.3228021987833616,0.25,1,0,0.5,1,0.0,2,50,0.5640760747051,0.9523299059761361
115,5,0.5361805754852892,0.06880751549593211,0.25,0,2,0.5,1,0.5,2,100,0.15954440051329982,0.22356299767998145
116,2,0.7829875018824498,0.6771779401056206,0.75,0,0,0.5,1,0.0,2,50,0.9999949987370389,0.14259033559907575
117,10,0.7166441626601989,0.3989597529185883,0.25,3,1,0.5,1,0.5,2,30,0.202898229982011,0.3972137260815291
118,2,0.41295404972205885,0.11622080632097731,0.5,1,0,0.5,1,0.0,2,50,0.4858186516787506,0.9954023324916407
119,5,0.7502952101547826,0.32379152060409244,0.75,0,1,0.0,1,0.0,2,50,0.9749260643057885,0.6147516395180507
120,5,0.638061517441107,0.3476118253070125,0.5,0,1,0.5,1,0.0,2,50,0.5587404991421383,0.40538370551512964
121,5,0.610300370676114,0.3458723625219706,0.5,3,0,0.5,1,0.5,2,50,0.6195362090705098,0.24721409447635412
122,10,0.6658059513598344,0.27253563399944836,0.75,3,0,0.5,1,0.5,2,30,0.29948997678784184,0.20524046174990315
123,10,0.7269812456820077,-0.8196601386494216,0.25,3,2,0.0,1,0.5,2,30,0.4552955467776963,0.8869861273776015
124,10,0.4027060722290128,0.24581827356884478,0.25,0,2,0.5,1,0.5,2,100,0.39123800610219694,0.47400390887768196
125,2,0.36735975996455295,0.5497954178143253,0.25,1,0,0.5,1,0.5,2,100,0.9999927196397573,0.8888807161033846
126,10,0.6252058431530909,0.5925209172066892,0.75,1,0,0.5,1,0.5,2,100,0.9438706999938564,0.10791178702300007
127,10,0.7154260233253056,0.42018144583917016,0.75,1,2,0.5,1,0.0,2,30,0.6728433237401655,0.1995302525008708
128,5,0.74711150278556,-0.06277425643339174,0.5,3,0,0.5,1,0.5,2,30,0.2709572971573651,0.46632562022925145
129,5,0.7876936512073829,0.04551504380079796,0.5,0,1,0.5,1,0.5,2,30,0.7709490071704282,0.6532874767505849
130,10,0.5079546558936564,-0.08708112548327995,0.25,0,1,0.0,1,0.0,2,50,0.6051427309231902,0.3254596781789964
131,5,0.2998755981130563,0.1371668108819365,0.25,1,2,0.0,1,0.5,2,100,0.6364102645971793,0.6145910577828116
132,2,0.517040913458535,-1.5366767707241036,0.25,1,1,0.0,1,0.5,2,30,0.9928714811389351,0.9680525068146724
133,5,0.7572509117174626,0.563763922570858,0.75,1,0,0.5,1,0.5,2,50,0.9249248899126721,0.9352597798793691
134,5,0.5050285880415699,0.47628299836969545,0.5,1,1,0.5,1,0.5,2,100,0.9469825910669762,0.4700727291578413
135,5,0.6835893223862768,0.7328034681606062,0.75,0,0,0.0,1,0.0,2,50,0.9261443065556151,0.8897909388194534
136,5,0.43272108385619223,-0.46644245591422884,0.25,3,0,0.5,1,0.0,2,30,0.28280382846102886,0.5917761851737453
137,5,0.6500483291582215,-133.13656989104194,0.5,0,1,0.5,1,0.5,2,30,0.6427172563671482,0.8507402014018048
138,5,0.4381644988610952,-1.1365424010266638,0.25,1,2,0.0,1,0.5,2,50,0.7668163960471507,0.3620078181792313
139,10,0.4743189951029142,0.013462723580665803,0.5,1,0,0.5,1,0.0,2,100,0.8549727547747202,0.5110770680826413
140,10,0.7620639735685788,-0.3206149791329256,0.5,1,1,0.5,1,0.0,2,30,0.5955684938399799,0.14295034608218943
141,5,0.57447922813861,-1.2665086355939157,0.25,1,2,0.5,1,0.5,2,50,0.7669870099782665,0.7704253128652204
142,5,0.8814271323332714,0.3929639082380386,0.75,1,0,0.5,1,0.0,2,30,0.9857684536377702,0.46902383090103167
143,10,0.6765470218931822,-0.32927837712091623,0.5,0,2,0.5,1,0.5,2,30,0.11080642408356633,0.022033981430985013
144,2,0.5229128020043428,-0.24783574077348458,0.25,1,1,0.0,1,0.0,2,30,0.9347997573949652,0.933210860753288
145,5,0.5972332999272731,-1.426340332740116,0.25,0,2,0.5,1,0.5,2,30,0.5807783194810937,0.31021718702896933
146,5,0.3788240986148832,-1.0975607030329022,0.25,1,0,0.5,1,0.0,2,50,0.29446028630281984,0.9605856733636469
147,10,0.7865512762152934,-10.712235869759779,0.75,1,2,0.5,1,0.5,2,30,0.6129866263779311,0.24717175505216696
148,2,0.3638828733217304,0.17718527624187475,0.25,1,1,0.5,1,0.5,2,100,0.8978578793567366,0.984010247039219
149,5,0.5459920697262477,0.15770630673755792,0.5,1,1,0.5,1,0.0,2,100,0.7680283337577589,0.48554471700431645
150,10,0.5495366566061642,-0.37734679642732694,0.25,3,1,0.5,1,0.5,2,100,0.4211592365420452,0.5723159177686377
151,5,0.5007510622111806,-0.2807539302508901,0.25,3,1,0.5,1,0.0,2,50,0.23672461997863453,0.7260901132193155
152,10,0.5516363904031507,-0.6035396166511702,0.75,1,1,0.5,1,0.5,2,100,0.5986956057193276,0.4443561084460459
153,10,0.5488564300190869,-0.09480896475703782,0.25,1,2,0.5,1,0.0,2,50,0.3963421090063858,0.8276063493597899
154,2,0.5531851201945324,-1.6977674868846484,0.5,0,1,0.5,1,0.5,2,50,0.9824636419492846,0.4982604776336056
155,5,0.8431300053607045,-0.28149787375012925,0.75,3,1,0.0,1,0.5,2,30,0.8079583133851823,0.13744439419840707
156,5,0.6485383082744232,0.5296886712361241,0.5,1,2,0.5,1,0.5,2,30,0.678470576426333,0.3750968662883366
157,5,0.6620133759902327,-3.60571367120762,0.5,0,1,0.5,1,0.5,2,30,0.48262040275423407,0.13106442234478996
158,10,0.6980442040809136,-0.2706200166017696,0.25,1,0,0.0,1,0.5,2,30,0.4024718653739679,0.6209904225997802
159,10,0.6829981912532883,-0.4420580600175785,0.75,1,2,0.5,1,0.5,2,50,0.654016807322753,0.8930195238582119
160,5,0.4157909194842184,-0.041590726273852185,0.5,1,2,0.0,1,0.5,2,100,0.9438085376404874,0.369964442058358
161,5,0.5119270291549524,-0.1465793243243827,0.5,0,1,0.5,1,0.5,2,50,0.8103226712544148,0.4219963643281929
162,5,0.39191419673527006,0.44623147980436084,0.5,1,0,0.5,1,0.5,2,100,0.9577372251733772,0.03971862433153182
163,10,0.7979968806587664,-1.1829802612260858,0.5,0,1,0.5,1,0.0,2,30,0.38013095675356584,0.1531882035568846
164,5,0.5867233389098825,-0.44305517585503473,0.25,0,2,0.5,1,0.5,2,50,0.4103605284338923,0.8549049601007429
165,2,0.4453139252320305,-0.5400842423539212,0.25,1,0,0.5,1,0.5,2,30,0.6587805833105584,0.6806776327930717
166,10,0.7670249848263853,-4.921849740887159,0.75,0,0,0.5,1,0.5,2,30,0.7244231658883502,0.5566630122508799
167,5,0.753108394293929,-0.12457365379586616,0.5,1,0,0.0,1,0.5,2,30,0.8307426205727395,0.48444873637483576
168,10,0.5934414486287327,-0.04115465919927397,0.25,1,1,0.5,1,0.5,2,100,0.6288371371333252,0.36874987595413794
169,5,0.5700552480817522,-1.7923309988910523,0.25,0,0,0.0,1,0.5,2,50,0.5091119590356981,0.405937255585164
170,2,0.76166027088615,0.0008895853828662093,0.75,1,1,0.5,1,0.5,2,30,0.9666691397415227,0.7402450525334919
171,5,0.5838150046111756,-5.62893163256086,0.25,0,0,0.0,1,0.5,2,30,0.8352507598095917,0.5815485499837857
172,5,0.7888580979623663,0.5565912556042976,0.75,1,0,0.0,1,0.5,2,100,0.9563997605626817,0.9557934002871871
173,10,0.6038451473425792,-0.16435842166872017,0.25,3,0,0.0,1,0.0,2,50,0.7565403930852248,0.5400224846791691
174,2,0.43778916555985337,0.17698257742084655,0.25,1,0,0.0,1,0.5,2,50,0.9990796010691689,0.7058199035964213
175,10,0.7602862535139805,0.5472429007067992,0.75,1,1,0.5,1,0.5,2,50,0.7475491873890923,0.15041814243295104
176,10,0.6822953298001819,-1.094477224849689,0.5,3,0,0.0,1,0.0,2,30,0.7566316047116065,0.5781042440862928
177,10,0.786902036772011,-0.758014505109001,0.75,1,0,0.5,1,0.0,2,30,0.6496565821354902,0.8276438913203785
178,10,0.6668847480196901,0.3109041814755207,0.75,3,1,0.0,1,0.5,2,100,0.693244167628301,0.5455013094941302
179,5,0.8026805990121226,-0.8492426571726852,0.75,3,0,0.5,1,0.5,2,30,0.6351661785421,0.18187231647343638
180,10,0.6588241842673057,0.5447192727809502,0.25,3,1,0.5,1,0.5,2,50,0.22984892822053016,0.7049887063058133
181,10,0.6812860087798241,0.6155317224648867,0.5,1,0,0.5,1,0.5,2,50,0.31552448109619524,0.40977646631155307
182,2,0.49487099177693583,0.6621660862173249,0.5,1,0,0.0,1,0.0,2,100,0.999200217175057,0.943749810189573
183,5,0.552985887738493,-0.45146084262465713,0.25,1,0,0.5,1,0.0,2,50,0.23833637307675967,0.6415378760313419
184,5,0.822399434009581,0.40160336676307107,0.5,3,2,0.5,1,0.5,2,30,0.42230632982574406,0.09719019190780288
185,5,0.6527987732404336,-4.874773375927047,0.25,3,0,0.5,1,0.0,2,30,0.3290512230060469,0.8139667440162579
186,5,0.5094228143358515,-0.7482152044372956,0.25,0,2,0.5,1,0.5,2,50,0.7769134394956042,0.13870154252738107
187,5,0.685494839848223,0.40801860237574716,0.75,0,2,0.0,1,0.0,2,30,0.753571289082396,0.3991142845258079
188,10,0.3568730119862117,-0.3969070216461643,0.25,0,0,0.5,1,0.5,2,100,0.8327833441536883,0.7766728675276756
189,10,0.35632321339640083,0.1523536590631922,0.25,3,0,0.5,1,0.5,2,100,0.16721328317673032,0.1473338108787138
190,2,0.6377330603999568,0.2023079648171643,0.75,1,1,0.0,1,0.0,2,50,0.9792984836578696,0.6670054304453158
191,2,0.4660758752084342,-1.5148609416856602,0.25,0,0,0.5,1,0.5,2,50,0.9970716352135921,0.9750659947582696
192,5,0.536855790133664,0.37188754800540436,0.5,1,0,0.0,1,0.0,2,100,0.9767208835826059,0.811695756320038
193,2,0.4333906425717673,-0.1680807231888004,0.25,0,1,0.5,1,0.5,2,30,0.99893609431711,0.6031189770296238
194,10,0.6711459608378254,-0.0031523119235132846,0.25,1,2,0.0,1,0.5,2,30,0.7585393403700076,0.5808190954149234
195,2,0.2979702143285393,0.30745450178128975,0.25,1,1,0.5,1,0.5,2,100,0.9016332974698943,0.4059972232149868
196,5,0.5543232444077311,0.07233348257695493,0.5,1,1,0.5,1,0.5,2,100,0.8842256114949568,0.7878848255402691
197,5,0.7218203223063202,-7.706180327772792,0.5,1,2,0.5,1,0.5,2,30,0.9872450400268804,0.7455055549287747
198,10,0.6708273226951996,-7.668894857131285,0.5,1,1,0.0,1,0.0,2,30,0.5983591686116383,0.22679782025619544
199,5,0.6108195461696826,0.1719530880057747,0.25,0,2,0.5,1,0.5,2,50,0.7039368539364962,0.31190817859143904
200,2,0.641467691214145,0.28775440944544217,0.5,0,1,0.5,1,0.5,2,50,0.9142889285391042,0.8254143393570583
201,10,0.7726971271591729,-0.3002143329929996,0.5,3,0,0.5,1,0.5,2,30,0.27526053768941017,0.8428546840914183
202,5,0.6369742738132983,0.7933726595437056,0.75,3,0,0.5,1,0.5,2,30,0.3762415835014773,0.538628426747204
203,5,0.5830334764295431,-2.850799660093735,0.5,3,1,0.5,1,0.0,2,50,0.9631192393440419,0.5647619462926949
204,5,0.8865444627605527,0.7818707046314503,0.75,1,1,0.5,1,0.0,2,30,0.9884263276266031,0.46389675628285615
205,5,0.5725404837846191,-0.48638804280136205,0.5,3,1,0.5,1,0.0,2,50,0.9862593602747265,0.5766272803814837
206,10,0.6906205087307258,0.18179114425014575,0.75,0,0,0.5,1,0.5,2,100,0.9083275432163931,0.4832963917415474
207,5,0.7722608099780116,-0.689781984502635,0.75,0,2,0.5,1,0.5,2,30,0.934981254632104,0.5375150233233393
208,5,0.7349371356052993,0.6493610876830317,0.25,0,1,0.5,1,0.5,2,30,0.30094368368758745,0.8258195833072665
209,5,0.22335972845200025,-0.0732367937772096,0.25,0,0,0.0,1,0.5,2,100,0.9623474946263731,0.48046020865804123
210,10,0.4153785245340246,0.3992362091862557,0.5,3,1,0.5,1,0.0,2,100,0.6408955515219437,0.3533645434638806
211,5,0.17253405578089742,-0.18057036735139853,0.25,0,2,0.5,1,0.0,2,100,0.7821834984381941,0.5279285497071261
212,10,0.6962453913023519,0.46699881948540933,0.75,0,2,0.0,1,0.5,2,30,0.4588847052574349,0.36974278282368156
213,2,0.44202126147964116,0.2369930469308742,0.25,0,1,0.0,1,0.0,2,30,0.9393884123977438,0.9608988391420242
214,5,0.7673453169473822,0.4708664669457442,0.75,3,1,0.5,1,0.5,2,30,0.9085932859587579,0.17935072493802479
215,5,0.8439142164042231,0.8361811815606374,0.75,3,0,0.5,1,0.5,2,50,0.9632872989457718,0.28314816796402636
216,5,0.5475460630410416,-0.09506220043027436,0.5,1,2,0.0,1,0.5,2,100,0.6105471471693782,0.10499395444570682
217,5,0.6407988381845726,0.23729562882892719,0.25,0,1,0.5,1,0.5,2,30,0.21603923279136517,0.4877552178835719
218,2,0.7964031062677728,0.6741414465879036,0.75,1,1,0.5,1,0.5,2,50,0.9570354450415317,0.7412117038446224
219,5,0.10331797922232833,-0.09226617511299229,0.25,0,2,0.0,1,0.5,2,100,0.8864588292774317,0.743246400519341
220,5,0.651555155877316,0.11553001967443499,0.25,3,1,0.0,1,0.0,2,30,0.263367494296439,0.5906704986796055
221,10,0.4711007529943544,-0.01032455761012474,0.5,3,1,0.5,1,0.5,2,100,0.8525668824675644,0.6340683962456216
