"","V","Imp"
"1",1,0.20242008687516
"2",2,0.0117527088890004
"3",3,0.313757079572223
"4",4,0.0172642494492449
"5",5,0.0381723326063546
"6",6,2.23797778854202e-05
"7",7,0.109966747424934
"8",8,0.312683206056486
"9",9,0.137214562774027
"10",10,0.148379040688657
