"","year","release_type","run","sex","release_location_rmis_basin","release_location_rmis_region","age","brood_year","fishery","gear","release_age","length","release_length","SSTarc_summer_lag4","SSTarc_winter_lag4","PDO_lag4","NPGO_lag4","Pinks_lag4","WA_Pinks_lag4","ALPI_lag4","SSTarc_summer_lag3","SSTarc_winter_lag3","PDO_lag3","NPGO_lag3","Pinks_lag3","WA_Pinks_lag3","ALPI_lag3","SSTarc_summer_lag2","SSTarc_winter_lag2","PDO_lag2","NPGO_lag2","Pinks_lag2","WA_Pinks_lag2","ALPI_lag2"
"1",1982,"one_YO_summer",3,"M","YOCL","LOCR",4,1978,54,"03",1,950,90.365341451097,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
"2",1982,"one_YO_summer",3,"F","YOCL","LOCR",3,1979,61,"15",1,829,89.3352524702404,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
"3",1982,"one_YO_summer",3,"F","YOCL","LOCR",4,1978,54,"18",1,881.733333333333,89.3352524702404,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
"4",1982,"one_YO_summer",3,"F","YOCL","LOCR",4,1978,54,"03",1,925,89.3352524702404,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
"5",1982,"two_YO_release",1,"M","COWL","LOCR",5,1977,46,"96",2,870,152.489815397937,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
"6",1982,"one_YO_summer",3,"M","YOCL","LOCR",4,1978,50,"50",1,910,90.365341451097,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
"7",1982,"one_YO_summer",3,"F","WIND","CECR",4,1978,54,"03",1,905,89.3352524702404,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
"8",1982,"one_YO_summer",3,"F","YOCL","LOCR",3,1979,50,"50",1,822.342342342342,89.3352524702404,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
"9",1982,"one_YO_summer",3,"F","MNPR","UPCR",5,1977,54,"03",1,925,89.3352524702404,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
"10",1982,"one_YO_summer",3,"F","YOCL","LOCR",3,1979,54,"03",1,823.333333333333,89.3352524702404,-0.00228419827973581,0.0431562499068249,0.42012691793105,0.504466635833333,-1.3753941785703,-0.622151835905145,0.998497928517305,0.593602380044287,-0.217950721307733,0.46130534255802,-0.737188575,-1.35680671173161,0.052919485466541,-0.326574703541259,-0.148815741964107,0.36701537699535,0.692096048025456,-0.749107275833333,-1.31671850353485,-0.673103817152682,0.738287290801877
