"","release_type","run","sex","release_location_rmis_basin","age","brood_year","fishery","gear","release_age","length","y_n","release_length"
"61","one_YO_fall",1,"M","DESC",4,1998,46,"26",1,730.458333333333,48,132.34472743521
"62","one_YO_fall",1,"M","DESC",4,1998,50,"50",1,731.501831501831,546,132.34472743521
"63","one_YO_fall",1,"M","DESC",4,1998,55,"16",1,758,5,132.34472743521
"64","one_YO_fall",1,"M","DESC",4,1998,56,"20",1,720.5,20,132.34472743521
"65","one_YO_fall",1,"M","DESC",4,1999,21,"13",1,666,1,132.34472743521
"66","one_YO_fall",1,"M","DESC",4,1999,24,"11",1,700,2,132.34472743521
"67","one_YO_fall",1,"M","DESC",4,1999,50,"50",1,723.125,192,132.34472743521
"68","one_YO_fall",1,"M","DESC",4,1999,56,"20",1,726.666666666667,6,132.34472743521
"69","one_YO_fall",1,"M","DESC",4,2000,46,"26",1,720.548387096774,93,132.34472743521
"70","one_YO_fall",1,"M","DESC",4,2000,50,"50",1,714.025974025974,616,132.34472743521
"71","one_YO_fall",1,"M","DESC",4,2000,55,"16",1,695,1,132.34472743521
"72","one_YO_fall",1,"M","DESC",4,2000,56,"20",1,693.333333333333,3,132.34472743521
"73","one_YO_fall",1,"M","DESC",4,2002,50,"50",1,693.458333333333,480,132.34472743521
"74","one_YO_fall",1,"M","DESC",4,2003,46,"26",1,695.333333333333,15,132.34472743521
"75","one_YO_fall",1,"M","DESC",4,2003,50,"50",1,694.207317073171,328,132.34472743521
"76","one_YO_fall",1,"M","DESC",4,2005,50,"50",1,741.323529411765,136,132.34472743521
"77","one_YO_fall",1,"M","DESC",4,2006,46,"26",1,733.703703703704,27,132.34472743521
"78","one_YO_fall",1,"M","DESC",4,2006,50,"50",1,726.230769230769,260,132.34472743521
"79","one_YO_fall",3,"F","YOCL",3,1983,50,"01",1,680,6,121.772329566168
"80","one_YO_fall",3,"F","YOCL",3,1983,50,"21",1,650.578947368421,38,121.772329566168
"81","one_YO_fall",3,"F","YOCL",3,1983,52,"04",1,640,2,121.772329566168
"82","one_YO_fall",3,"F","YOCL",3,1984,50,"21",1,630,16,121.772329566168
"83","one_YO_fall",3,"F","YOCL",3,1984,50,"22",1,654.5,16,121.772329566168
"84","one_YO_fall",3,"F","YOCL",3,1985,41,"95",1,660,1,121.772329566168
"85","one_YO_fall",3,"F","YOCL",3,1985,42,"95",1,640,1,121.772329566168
"86","one_YO_fall",3,"F","YOCL",3,1985,50,"01",1,710,3,121.772329566168
"87","one_YO_fall",3,"F","YOCL",3,1985,50,"21",1,686.111111111111,72,121.772329566168
"88","one_YO_fall",3,"F","YOCL",3,1985,50,"50",1,692.727272727273,33,121.772329566168
"89","one_YO_fall",3,"F","YOCL",3,1985,54,"18",1,720,1,121.772329566168
"90","one_YO_fall",3,"F","YOCL",3,1985,61,"15",1,710,1,121.772329566168
"91","one_YO_fall",3,"F","YOCL",3,1986,50,"01",1,680,3,121.772329566168
"92","one_YO_fall",3,"F","YOCL",3,1986,50,"21",1,654.666666666667,30,121.772329566168
"93","one_YO_fall",3,"F","YOCL",3,1986,54,"03",1,615,4,121.772329566168
"94","one_YO_fall",3,"F","YOCL",3,1987,50,"01",1,713.333333333333,9,121.772329566168
"95","one_YO_fall",3,"F","YOCL",3,1987,50,"21",1,657.354430379747,158,121.772329566168
"96","one_YO_fall",3,"F","YOCL",3,1987,50,"50",1,667.777777777778,27,121.772329566168
"97","one_YO_fall",3,"F","YOCL",3,1987,54,"18",1,710,2,121.772329566168
"98","one_YO_fall",3,"F","YOCL",3,1988,21,"13",1,674,1,121.772329566168
"99","one_YO_fall",3,"F","YOCL",3,1988,45,"32",1,720,1,121.772329566168
"100","one_YO_fall",3,"F","YOCL",3,1988,50,"01",1,694.285714285714,21,121.772329566168
"101","one_YO_fall",3,"F","YOCL",3,1988,50,"21",1,659.723076923077,260,121.772329566168
"102","one_YO_fall",3,"F","YOCL",3,1988,50,"50",1,695,6,121.772329566168
"103","one_YO_fall",3,"F","YOCL",3,1988,54,"03",1,615,4,121.772329566168
"104","one_YO_fall",3,"F","YOCL",3,1991,50,"01",1,648,15,121.772329566168
"105","one_YO_fall",3,"F","YOCL",3,1991,50,"21",1,655.027027027027,74,121.772329566168
"106","one_YO_fall",3,"F","YOCL",3,1991,50,"50",1,652,15,121.772329566168
"107","one_YO_fall",3,"F","YOCL",3,1991,54,"18",1,735,2,121.772329566168
"108","one_YO_fall",3,"F","YOCL",3,1992,50,"01",1,674.333333333333,90,121.772329566168
"109","one_YO_fall",3,"F","YOCL",3,1992,50,"21",1,680.96256684492,374,121.772329566168
"110","one_YO_fall",3,"F","YOCL",3,1992,50,"50",1,696,15,121.772329566168
"111","one_YO_fall",3,"F","YOCL",3,1992,54,"03",1,740,2,121.772329566168
"112","one_YO_fall",3,"F","YOCL",3,1992,54,"18",1,680,4,121.772329566168
"113","one_YO_fall",3,"F","YOCL",3,1993,50,"21",1,631.928571428571,28,121.772329566168
"114","one_YO_fall",3,"F","YOCL",3,1994,50,"01",1,660,3,121.772329566168
"115","one_YO_fall",3,"F","YOCL",3,1994,50,"21",1,633.6,10,121.772329566168
"116","one_YO_fall",3,"F","YOCL",3,1997,21,"13",1,661.8,5,121.772329566168
"117","one_YO_fall",3,"F","YOCL",3,1997,50,"21",1,690.066666666667,30,121.772329566168
"118","one_YO_fall",3,"F","YOCL",3,1998,21,"13",1,723.25,4,121.772329566168
"119","one_YO_fall",3,"F","YOCL",3,1998,50,"21",1,671.777777777778,18,121.772329566168
"120","one_YO_fall",3,"F","YOCL",3,1999,21,"13",1,681.771428571429,35,121.772329566168
"121","one_YO_fall",3,"F","YOCL",3,1999,50,"21",1,684.111111111111,90,121.772329566168
"122","one_YO_fall",3,"F","YOCL",3,1999,54,"18",1,760,1,121.772329566168
"123","one_YO_fall",3,"F","YOCL",3,2000,21,"13",1,697.444444444444,9,121.772329566168
"124","one_YO_fall",3,"F","YOCL",3,2000,50,"21",1,690,14,121.772329566168
"125","one_YO_fall",3,"F","YOCL",3,2000,50,"22",1,606,2,121.772329566168
"126","one_YO_fall",3,"F","YOCL",3,2002,21,"13",1,692,8,121.772329566168
"127","one_YO_fall",3,"F","YOCL",3,2002,50,"21",1,699.285714285714,14,121.772329566168
"128","one_YO_fall",3,"F","YOCL",3,2002,50,"22",1,725.5,8,121.772329566168
"129","one_YO_fall",3,"F","YOCL",3,2004,21,"13",1,614,1,121.772329566168
"130","one_YO_fall",3,"F","YOCL",3,2004,50,"21",1,693.214285714286,28,121.772329566168
"131","one_YO_fall",3,"F","YOCL",4,1983,22,"14",1,700,2,121.772329566168
"132","one_YO_fall",3,"F","YOCL",4,1983,50,"01",1,790,3,121.772329566168
"133","one_YO_fall",3,"F","YOCL",4,1983,50,"21",1,794,30,121.772329566168
"134","one_YO_fall",3,"F","YOCL",4,1983,50,"22",1,786.018181818182,110,121.772329566168
"135","one_YO_fall",3,"F","YOCL",4,1983,50,"50",1,796.666666666667,9,121.772329566168
"136","one_YO_fall",3,"F","YOCL",4,1983,54,"18",1,860,1,121.772329566168
"137","one_YO_fall",3,"F","YOCL",4,1984,21,"13",1,757,1,121.772329566168
"138","one_YO_fall",3,"F","YOCL",4,1984,41,"95",1,780,1,121.772329566168
"139","one_YO_fall",3,"F","YOCL",4,1984,45,"95",1,520,1,121.772329566168
"140","one_YO_fall",3,"F","YOCL",4,1984,50,"01",1,764,15,121.772329566168
"141","one_YO_fall",3,"F","YOCL",4,1984,50,"21",1,739.516129032258,186,121.772329566168
"142","one_YO_fall",3,"F","YOCL",4,1984,50,"22",1,765,4,121.772329566168
"143","one_YO_fall",3,"F","YOCL",4,1984,50,"50",1,747.272727272727,33,121.772329566168
"144","one_YO_fall",3,"F","YOCL",4,1984,54,"03",1,760,2,121.772329566168
"145","one_YO_fall",3,"F","YOCL",4,1984,61,"15",1,760,1,121.772329566168
"146","one_YO_fall",3,"F","YOCL",4,1985,21,"13",1,750,1,121.772329566168
"147","one_YO_fall",3,"F","YOCL",4,1985,42,"95",1,790,2,121.772329566168
"148","one_YO_fall",3,"F","YOCL",4,1985,50,"01",1,798.75,72,121.772329566168
"149","one_YO_fall",3,"F","YOCL",4,1985,50,"21",1,785.666666666667,246,121.772329566168
"150","one_YO_fall",3,"F","YOCL",4,1985,50,"50",1,805,6,121.772329566168
"151","one_YO_fall",3,"F","YOCL",4,1985,52,"24",1,863,2,121.772329566168
"152","one_YO_fall",3,"F","YOCL",4,1985,54,"03",1,800,8,121.772329566168
"153","one_YO_fall",3,"F","YOCL",4,1986,50,"01",1,783,30,121.772329566168
"154","one_YO_fall",3,"F","YOCL",4,1986,50,"21",1,774.140939597315,298,121.772329566168
"155","one_YO_fall",3,"F","YOCL",4,1986,50,"50",1,781.666666666667,18,121.772329566168
"156","one_YO_fall",3,"F","YOCL",4,1987,21,"13",1,766,2,121.772329566168
"157","one_YO_fall",3,"F","YOCL",4,1987,45,"32",1,760,2,121.772329566168
"158","one_YO_fall",3,"F","YOCL",4,1987,50,"01",1,800,36,121.772329566168
"159","one_YO_fall",3,"F","YOCL",4,1987,50,"21",1,764.162436548223,394,121.772329566168
"160","one_YO_fall",3,"F","YOCL",4,1987,52,"24",1,735,4,121.772329566168
"161","one_YO_fall",3,"F","YOCL",4,1987,54,"03",1,745,8,121.772329566168
"162","one_YO_fall",3,"F","YOCL",4,1987,61,"15",1,800,1,121.772329566168
"163","one_YO_fall",3,"F","YOCL",4,1988,21,"13",1,786,1,121.772329566168
"164","one_YO_fall",3,"F","YOCL",4,1988,50,"01",1,796.666666666667,36,121.772329566168
"165","one_YO_fall",3,"F","YOCL",4,1988,50,"21",1,755.626168224299,214,121.772329566168
"166","one_YO_fall",3,"F","YOCL",4,1988,50,"50",1,771.666666666667,72,121.772329566168
"167","one_YO_fall",3,"F","YOCL",4,1988,54,"03",1,751.111111111111,18,121.772329566168
"168","one_YO_fall",3,"F","YOCL",4,1988,54,"18",1,765,2,121.772329566168
"169","one_YO_fall",3,"F","YOCL",4,1988,61,"15",1,768,1,121.772329566168
"170","one_YO_fall",3,"F","YOCL",4,1990,50,"01",1,778.75,24,121.772329566168
"171","one_YO_fall",3,"F","YOCL",4,1990,50,"21",1,757.16,150,121.772329566168
"172","one_YO_fall",3,"F","YOCL",4,1990,50,"50",1,759.545454545455,66,121.772329566168
"173","one_YO_fall",3,"F","YOCL",4,1990,52,"24",1,798,2,121.772329566168
"174","one_YO_fall",3,"F","YOCL",4,1990,54,"03",1,767.5,8,121.772329566168
"175","one_YO_fall",3,"F","YOCL",4,1990,54,"18",1,776.666666666667,6,121.772329566168
"176","one_YO_fall",3,"F","YOCL",4,1991,50,"01",1,804.444444444444,54,121.772329566168
"177","one_YO_fall",3,"F","YOCL",4,1991,50,"21",1,771.228260869565,184,121.772329566168
"178","one_YO_fall",3,"F","YOCL",4,1991,50,"50",1,815,18,121.772329566168
"179","one_YO_fall",3,"F","YOCL",4,1991,52,"24",1,741,4,121.772329566168
"180","one_YO_fall",3,"F","YOCL",4,1991,54,"18",1,757.5,4,121.772329566168
"181","one_YO_fall",3,"F","YOCL",4,1992,21,"13",1,802,5,121.772329566168
"182","one_YO_fall",3,"F","YOCL",4,1992,50,"01",1,795.454545454545,66,121.772329566168
