,year,length_age3,length_age4,length_age5,Clusters
0,1996.0,523.9225883761999,717.1768438434847,889.6695020441117,1
1,1993.0,668.8029056418067,782.1776404933903,889.6695020441117,2
2,1993.0,670.7581628205241,838.3176276756878,889.6695020441117,0
3,1996.0,645.1719449784032,844.8646788500428,903.3430984692367,0
4,1995.0,669.8923739484258,818.738181296812,889.6695020441117,0
5,1993.0,716.5445470794747,824.4735391420699,884.0615226258271,0
6,1994.0,779.0696200721169,861.6460903514054,889.6695020441117,3
7,1993.0,645.1719449784032,842.0960743696047,909.2204695744628,0
8,2002.0,714.1945844806312,807.0982217520419,889.6695020441117,0
9,1991.0,723.2870789034713,844.2460949766986,918.5804771054089,0
10,1988.0,782.8771120218022,863.7209093193596,889.6695020441117,3
11,1993.0,722.38132452266,837.9060463478488,916.1917357071007,0
12,1984.0,782.9053232274982,887.3775967604314,889.6695020441117,3
13,1993.0,793.7669986658804,879.3663052741665,889.6695020441117,3
14,1993.0,753.5393298156448,857.8132139373835,889.6695020441117,3
15,1993.0,694.4294661732343,845.3928780904957,924.1080846038857,0
16,1994.0,777.5243399373633,895.2366963473321,889.6695020441117,3
17,1993.0,674.3110035693038,858.6733466417669,965.0404945167442,0
18,1991.0,675.9782535893283,848.4901959531387,976.9750970108508,0
19,1993.0,700.2086982982285,844.214058735895,950.9774726340435,0
20,1993.0,821.4616069753671,932.3519562725974,889.6695020441117,3
21,1993.0,780.347236470054,904.0046452048304,889.6695020441117,3
22,1996.0,714.036937585566,831.8096649047086,900.3470554440564,0
23,1996.0,719.3882864429664,821.651630025551,880.9999212809272,0
24,2001.0,723.4547715310695,845.6067127401195,910.7629337368991,0
25,1995.0,681.3838000840374,842.7973766113593,944.4029117313052,0
26,1998.0,688.4592675331443,841.4836030508388,889.6695020441117,0
27,2001.0,690.3572485442932,839.6608345958529,950.9331668258377,0
28,1998.0,645.1719449784032,740.5326376004691,861.4323667446604,2
29,1995.0,645.1719449784032,742.2971771004507,814.3863753335717,2
30,1996.0,645.1719449784032,734.42340221032,851.8721448815371,2
31,1994.0,645.1719449784032,742.8642778491978,839.5185603407887,2
32,2000.0,645.1719449784032,727.0549995075903,844.6206182756068,2
33,1997.0,645.1719449784032,753.5147301183184,866.2309567812609,2
34,1996.0,645.1719449784032,752.6488034470688,848.4278172963144,2
35,1996.0,645.1719449784032,752.6972177106577,875.4351775689911,2
36,1997.0,645.1719449784032,728.5321049768223,828.0264995335447,2
37,1997.0,500.2015345979043,764.0266487190195,927.1049466724272,1
38,1995.0,537.1016148557708,736.604506057434,836.1536287524567,1
39,1993.0,530.1025581426334,728.270300711287,889.6695020441117,1
40,1996.0,526.1228340558666,752.5027284002348,889.6695020441117,1
41,1996.0,507.2837670620436,718.00096540251,889.6695020441117,1
42,1998.0,645.1719449784032,722.6794651257683,846.702295245698,2
43,1996.0,491.9835088948603,701.8260637644717,889.6695020441117,1
44,2000.0,497.51334234903766,736.2043142121521,897.8577542792232,1
45,1999.0,542.4544435308627,783.1492444114116,889.6695020441117,1
46,1997.0,523.801189281344,791.1536713867617,935.931111154081,1
47,1995.0,645.1719449784032,748.9734175535766,865.2891267013789,2
48,1996.0,533.2843090217801,786.9332826934916,933.997521707512,1
49,1999.0,645.1719449784032,766.5682729166784,881.7258315379759,2
50,1994.0,645.1719449784032,797.4426469525952,899.700746754435,2
51,2000.0,645.1719449784032,774.9314772490391,881.8772556421844,2
52,1998.0,505.5184698908756,725.7036968280745,880.5136792087071,1
53,1995.0,540.9722894297055,759.1273613080945,909.4229356166943,1
54,1999.0,519.2171447969894,728.0676452497412,884.720973268467,1
55,2001.0,629.8905724207632,756.2535874120629,827.9173750458326,2
56,2001.0,564.1527857866857,727.3028309646254,859.741889911584,1
57,1999.0,645.1719449784032,769.3595265609964,862.5585501988347,2
58,1999.0,590.737030313999,752.9722526804879,889.6695020441117,2
59,2000.0,558.7733733301255,712.359253322897,889.6695020441117,1
