"","stock","weight_1","weight_2","weight_3"
"1",1,0.0847368536617664,1.17936426295067,0.216581306984895
"2",2,0.565062968093387,0.56050959130124,0.259289696422888
"3",3,0.712500102158217,0.668383796292913,0.160023755298824
"4",4,0.247150655685287,0.212807851181514,0.719061770949079
"5",5,0.616391827013061,0.170521346608644,0.829542524163923
"6",6,0.249416355535568,0.36606953208647,0.471800332545325
"7",7,0.388509715346967,0.278229619677409,0.356799100611135
"8",8,0.114819793071034,0.278332995837243,0.657071049741979
"9",9,0.349298097290533,0.455102101581077,0.324439606077731
"10",10,0.120997377786805,0.223423280461988,0.724224333577936
"11",11,0.225690852453503,0.322890933880805,0.299618502117425
"12",12,0.175057359246309,0.217788252233611,0.715707306017487
"13",13,0.165170284474203,0.212245254262522,0.494506732486142
"14",14,0.461146789020656,0.261264092239192,0.285036561558917
"15",15,0.545078133553531,0.47121742009195,0.0498740170547119
"16",16,0.288574166716884,0.451558288211611,0.427968020294997
"17",17,0.611404665925951,0.237546000184535,0.333901830293534
"18",18,0.606775468886572,0.399701977091501,0.515897975559264
"19",19,0.203838844052072,0.220314458614312,0.914571342147577
"20",20,0.270195369988575,0.271990536746165,0.726924296507574
"21",21,0.469290739379267,0.223226743635841,0.280919529141816
"22",22,0.52168885869677,0.502503066002392,1.3673504167227e-50
"23",23,0.1433183534635,0.23678602899542,0.675553867642559
"24",24,0.256219316775049,0.158124074091048,0.728246680787651
"25",25,0.132568929926325,0.245264858726785,0.617465403226324
"26",26,0.20411522095199,0.247608318454997,0.777561359649849
"27",27,0.386890739432507,0.171980849211464,0.762854871870197
"28",28,0.142251690897598,0.171990096103403,0.830746880389312
"29",29,0.0887168225598879,0.442472505809814,0.28507715937658
"30",30,0.216236328630006,0.40090756837232,0.13394003514319
"31",31,0.135396466880564,0.373114931225895,0.337465461897022
"32",32,0.328292389806836,0.219307333242987,0.435011967652547
"33",33,0.0270294879567037,0.55929720525068,0.183395479861173
"34",34,0.0795746251772255,0.335776811577355,0.338604028741996
"35",35,0.0687154125504971,0.0579197117042289,0.680928837350936
"36",36,0.199956719932032,0.176190737930118,0.51365220372711
"37",37,1.32501535725825e-41,0.307780557624805,0.391345916247658
"38",38,0.0997675161239949,0.5436641581046,0.453108735672158
"39",39,0.235675098459845,0.583143690695632,0.0678504148609326
"40",40,0.265104069306272,0.250346919917185,0.568760029049027
"41",41,0.246349816850655,0.51876400674657,0.43315162876204
"42",42,1.2469512657612,1.79582322062535e-57,1.07594775368991
"43",43,0.037754003653988,0.494396726830555,0.299615851649726
"44",44,0.0423316059032028,0.733636944033884,0.424473615012552
"45",45,8.69744734853631e-36,0.957914938565755,1.51175298081224e-45
"46",46,0.0570130194998365,0.575157609450303,0.30372634890909
"47",47,0.056258103327551,0.431562786400683,0.344828679371382
"48",48,0.132543786787563,0.19519295029478,0.652695532533587
"49",49,0.202931919427691,0.214585865705942,0.484497278288434
"50",50,0.0961105458829843,0.240797974061869,0.429826189640357
"51",51,0.0430250282696783,0.382580045146309,0.196419690434696
"52",52,0.0975795885567904,0.157228087968825,0.483411159797004
"53",53,0.176795562697096,0.368391210819821,0.552149641082068
"54",54,0.228346577694696,0.405854394188453,0.324582441894116
"55",55,0.142762168035101,0.520569968369198,0.352823214473981
"56",56,0.309076978762917,0.425038191050132,0.0110733647668813
"57",57,0.710386871280486,0.372470374133624,0.24320189668534
"58",58,0.25232391005498,0.136725724978756,0.51247701133097
"59",59,0.487059706754997,0.217186631857231,0.212481139352957
"60",60,0.813616504155595,0.138817531160553,0.437215326025127
