,weight_1,weight_2,weight_3,Clusters
0,0.0847368536617664,1.17936426295067,0.21658130698489497,0
1,0.5650629680933871,0.56050959130124,0.259289696422888,2
2,0.712500102158217,0.668383796292913,0.160023755298824,2
3,0.24715065568528696,0.21280785118151396,0.7190617709490791,1
4,0.616391827013061,0.17052134660864401,0.8295425241639229,1
5,0.24941635553556799,0.36606953208647,0.471800332545325,1
6,0.38850971534696704,0.278229619677409,0.356799100611135,2
7,0.11481979307103399,0.27833299583724297,0.657071049741979,1
8,0.349298097290533,0.45510210158107706,0.32443960607773104,3
9,0.120997377786805,0.223423280461988,0.7242243335779358,1
10,0.225690852453503,0.322890933880805,0.29961850211742497,3
11,0.175057359246309,0.217788252233611,0.715707306017487,1
12,0.165170284474203,0.212245254262522,0.494506732486142,1
13,0.461146789020656,0.261264092239192,0.285036561558917,2
14,0.5450781335535311,0.47121742009195,0.0498740170547119,2
15,0.28857416671688396,0.451558288211611,0.42796802029499703,3
16,0.6114046659259511,0.237546000184535,0.333901830293534,2
17,0.6067754688865721,0.39970197709150107,0.515897975559264,2
18,0.20383884405207198,0.22031445861431195,0.914571342147577,1
19,0.270195369988575,0.271990536746165,0.7269242965075742,1
20,0.469290739379267,0.22322674363584102,0.28091952914181606,2
21,0.52168885869677,0.502503066002392,1.3673504167227e-50,2
22,0.1433183534635,0.23678602899542,0.675553867642559,1
23,0.25621931677504894,0.158124074091048,0.728246680787651,1
24,0.132568929926325,0.245264858726785,0.6174654032263239,1
25,0.20411522095199,0.24760831845499698,0.7775613596498491,1
26,0.386890739432507,0.171980849211464,0.7628548718701971,1
27,0.14225169089759804,0.17199009610340302,0.8307468803893121,1
28,0.0887168225598879,0.44247250580981395,0.28507715937658,3
29,0.21623632863000602,0.40090756837232,0.13394003514319,3
30,0.13539646688056403,0.373114931225895,0.337465461897022,3
31,0.328292389806836,0.21930733324298698,0.43501196765254707,1
32,0.0270294879567037,0.55929720525068,0.183395479861173,3
33,0.0795746251772255,0.33577681157735495,0.3386040287419961,3
34,0.0687154125504971,0.0579197117042289,0.6809288373509361,1
35,0.19995671993203196,0.176190737930118,0.51365220372711,1
36,1.32501535725825e-41,0.307780557624805,0.39134591624765797,3
37,0.0997675161239949,0.5436641581046,0.4531087356721579,3
38,0.235675098459845,0.5831436906956321,0.0678504148609326,3
39,0.265104069306272,0.250346919917185,0.568760029049027,1
40,0.24634981685065502,0.51876400674657,0.43315162876204,3
41,1.2469512657611999,1.7958232206253497e-57,1.07594775368991,4
42,0.037754003653988,0.49439672683055497,0.299615851649726,3
43,0.0423316059032028,0.7336369440338839,0.424473615012552,3
44,8.69744734853631e-36,0.957914938565755,1.5117529808122398e-45,0
45,0.0570130194998365,0.5751576094503029,0.30372634890909,3
46,0.05625810332755099,0.431562786400683,0.344828679371382,3
47,0.132543786787563,0.19519295029477998,0.652695532533587,1
48,0.20293191942769104,0.21458586570594199,0.4844972782884339,1
49,0.0961105458829843,0.24079797406186898,0.42982618964035707,1
50,0.0430250282696783,0.382580045146309,0.196419690434696,3
51,0.0975795885567904,0.157228087968825,0.48341115979700394,1
52,0.176795562697096,0.36839121081982107,0.552149641082068,1
53,0.228346577694696,0.405854394188453,0.324582441894116,3
54,0.14276216803510097,0.520569968369198,0.352823214473981,3
55,0.309076978762917,0.42503819105013196,0.0110733647668813,3
56,0.7103868712804859,0.372470374133624,0.24320189668534,2
57,0.25232391005498,0.13672572497875599,0.51247701133097,1
58,0.487059706754997,0.21718663185723103,0.212481139352957,2
59,0.813616504155595,0.138817531160553,0.437215326025127,2
