,,,,,,
, YEAR            ,MONTH       ,NPGO,,,
,1.96E+03,3E+00,8.6326859E-01,,,
,1.96E+03,4E+00,7.9348216E-01,,,
,1.96E+03,5E+00,9.1892054E-01,,,
,1.96E+03,6E+00,3.1314454E-01,,,
,1.96E+03,7E+00,7.0915221E-01,,,
,1.96E+03,8E+00,4.3794466E-01,,,
,1.96E+03,9E+00,5.2397594E-01,,,
,1.96E+03,1E+01,4.8853548E-01,,,
,1.96E+03,1.1E+01,9.5336825E-01,,,
,1.96E+03,1.2E+01,1.1361285E+00,,,
,1.961E+03,1E+00,1.1032184E+00,,,
,1.961E+03,2E+00,1.3593808E+00,,,
,1.961E+03,3E+00,1.7493986E+00,,,
,1.961E+03,4E+00,9.5715692E-01,,,
,1.961E+03,5E+00,1.4002097E+00,,,
,1.961E+03,6E+00,1.2018429E+00,,,
,1.961E+03,7E+00,1.0626986E+00,,,
,1.961E+03,8E+00,1.0746483E+00,,,
,1.961E+03,9E+00,7.7296683E-01,,,
,1.961E+03,1E+01,3.4873726E-01,,,
,1.961E+03,1.1E+01,2.2058507E-01,,,
,1.961E+03,1.2E+01,3.9737078E-01,,,
,1.962E+03,1E+00,1.7476225E-01,,,
,1.962E+03,2E+00,-1.4977739E-01,,,
,1.962E+03,3E+00,-6.0767641E-01,,,
,1.962E+03,4E+00,-4.7141795E-01,,,
,1.962E+03,5E+00,-7.3901362E-01,,,
,1.962E+03,6E+00,-3.0441143E-01,,,
,1.962E+03,7E+00,-6.2123467E-02,,,
,1.962E+03,8E+00,-3.7063506E-01,,,
,1.962E+03,9E+00,3.3421582E-01,,,
,1.962E+03,1E+01,1.6424001E-01,,,
,1.962E+03,1.1E+01,4.4560527E-01,,,
,1.962E+03,1.2E+01,4.6514247E-01,,,
,1.963E+03,1E+00,-8.1285016E-01,,,
,1.963E+03,2E+00,-2.7996258E-01,,,
,1.963E+03,3E+00,-1.0965502E+00,,,
,1.963E+03,4E+00,-8.1056845E-01,,,
,1.963E+03,5E+00,-4.2822716E-01,,,
,1.963E+03,6E+00,-7.1623806E-01,,,
,1.963E+03,7E+00,-3.6669314E-01,,,
,1.963E+03,8E+00,-1.346054E-01,,,
,1.963E+03,9E+00,1.1978808E-01,,,
,1.963E+03,1E+01,5.0714133E-01,,,
,1.963E+03,1.1E+01,6.6107473E-01,,,
,1.963E+03,1.2E+01,5.4103299E-01,,,
,1.964E+03,1E+00,1.0728952E+00,,,
,1.964E+03,2E+00,2.9248032E-01,,,
,1.964E+03,3E+00,3.5166979E-01,,,
,1.964E+03,4E+00,2.5015275E-01,,,
,1.964E+03,5E+00,2.7190132E-01,,,
,1.964E+03,6E+00,8.8409534E-01,,,
