"","V","Imp"
"1",1,0.0250110571323815
"2",2,0.191646498653613
"3",3,0.202480358943554
"4",4,0.140702961734873
"5",5,0.00700961070331001
"6",6,0.056784911463316
"7",7,0.078150612077183
"8",8,0.000793367850350993
"9",9,0.0285970027213298
"10",10,0.438873311422198
