"","stock","p52.5","COG","n","run","sex","release_type","release_location_rmis_region","release_location_rmis_basin"
"49","two_YO_release 3 F LOSN",0.978494623655914,47.4103208426235,93,3,"F","two_YO_release","SNAK","LOSN"
"50","two_YO_release 3 F PRGC",0.964285714285714,46.9460202391187,28,3,"F","two_YO_release","UPCR","PRGC"
"51","two_YO_release 3 M LOSN",1,47.2473041393427,49,3,"M","two_YO_release","SNAK","LOSN"
"52","two_YO_release 3 M PRGC",1,46.3115430306711,37,3,"M","two_YO_release","UPCR","PRGC"
"53","two_YO_release 8 F CLEA",1,47.8536523416632,15,8,"F","two_YO_release","SNAK","CLEA"
"54","two_YO_release 8 F LOSN",1,46.3733432977772,102,8,"F","two_YO_release","SNAK","LOSN"
"55","two_YO_release 8 F UMAT",0.933333333333333,46.6695917437909,15,8,"F","two_YO_release","CECR","UMAT"
"56","two_YO_release 8 F UPSN",1,47.4327540346035,35,8,"F","two_YO_release","SNAK","UPSN"
"57","two_YO_release 8 M LOSN",1,46.2771885416667,96,8,"M","two_YO_release","SNAK","LOSN"
"58","two_YO_release 8 M UMAT",0.909090909090909,46.8532447784067,11,8,"M","two_YO_release","CECR","UMAT"
"59","two_YO_release 8 M UPSN",1,47.3437607142857,14,8,"M","two_YO_release","SNAK","UPSN"
